iter	Passed	Remaining
0	179	179106
1	205	102629
2	228	75824
3	250	62275
4	275	54831
5	299	49637
6	325	46210
7	351	43586
8	377	41593
9	402	39822
10	425	38288
11	453	37335
12	478	36354
13	503	35466
14	527	34621
15	550	33881
16	575	33286
17	596	32569
18	620	32031
19	647	31748
20	673	31377
21	698	31052
22	723	30753
23	751	30560
24	778	30342
25	803	30097
26	827	29823
27	852	29595
28	877	29377
29	905	29284
30	934	29211
31	955	28904
32	982	28793
33	1005	28577
34	1032	28453
35	1055	28269
36	1084	28234
37	1106	28016
38	1132	27898
39	1160	27844
40	1186	27760
41	1208	27570
42	1230	27380
43	1257	27320
44	1283	27236
45	1309	27159
46	1336	27090
47	1362	27021
48	1388	26941
49	1411	26810
50	1438	26762
51	1461	26653
52	1486	26559
53	1516	26573
54	1542	26502
55	1564	26366
56	1590	26311
57	1615	26239
58	1641	26188
59	1666	26108
60	1693	26067
61	1718	26006
62	1745	25967
63	1772	25915
64	1797	25862
65	1824	25818
66	1851	25776
67	1875	25708
68	1901	25654
69	1928	25622
70	1950	25518
71	1975	25463
72	2000	25407
73	2026	25354
74	2051	25302
75	2076	25245
76	2102	25199
77	2127	25145
78	2149	25064
79	2175	25018
80	2198	24945
81	2218	24834
82	2245	24811
83	2273	24788
84	2296	24717
85	2319	24646
86	2344	24600
87	2371	24577
88	2397	24543
89	2424	24509
90	2450	24477
91	2478	24462
92	2505	24430
93	2529	24380
94	2555	24342
95	2581	24313
96	2607	24276
97	2634	24244
98	2661	24221
99	2688	24193
100	2714	24165
101	2736	24096
102	2763	24068
103	2789	24032
104	2815	24002
105	2841	23960
106	2865	23916
107	2890	23871
108	2916	23839
109	2942	23808
110	2964	23743
111	2985	23674
112	3011	23636
113	3035	23594
114	3064	23579
115	3084	23508
116	3112	23493
117	3137	23451
118	3162	23410
119	3184	23352
120	3206	23295
121	3232	23260
122	3258	23236
123	3285	23208
124	3312	23187
125	3339	23162
126	3365	23137
127	3392	23110
128	3419	23085
129	3444	23048
130	3471	23028
131	3495	22983
132	3519	22942
133	3545	22913
134	3566	22855
135	3593	22828
136	3618	22795
137	3643	22757
138	3670	22736
139	3700	22728
140	3724	22691
141	3749	22654
142	3775	22624
143	3801	22596
144	3827	22568
145	3883	22713
146	3912	22704
147	3949	22734
148	3986	22767
149	4014	22748
150	4039	22714
151	4065	22682
152	4086	22624
153	4115	22608
154	4142	22581
155	4168	22554
156	4198	22542
157	4220	22489
158	4248	22473
159	4276	22451
160	4303	22424
161	4329	22393
162	4358	22381
163	4382	22338
164	4415	22343
165	4441	22315
166	4471	22304
167	4499	22284
168	4531	22279
169	4562	22277
170	4590	22256
171	4615	22218
172	4641	22187
173	4668	22163
174	4696	22139
175	4721	22105
176	4744	22059
177	4770	22029
178	4795	21995
179	4822	21968
180	4848	21939
181	4877	21922
182	4905	21899
183	4931	21870
184	4958	21842
185	4987	21825
186	5013	21796
187	5038	21764
188	5067	21745
189	5091	21705
190	5119	21683
191	5142	21642
192	5169	21615
193	5191	21567
194	5212	21519
195	5242	21505
196	5268	21477
197	5295	21448
198	5322	21423
199	5352	21409
200	5379	21385
201	5405	21355
202	5433	21331
203	5460	21307
204	5487	21279
205	5531	21322
206	5563	21314
207	5610	21364
208	5642	21356
209	5676	21355
210	5707	21343
211	5740	21338
212	5774	21335
213	5804	21318
214	5832	21294
215	5859	21268
216	5886	21240
217	5914	21217
218	5941	21189
219	5965	21149
220	5989	21111
221	6016	21085
222	6043	21057
223	6070	21030
224	6098	21005
225	6126	20982
226	6155	20960
227	6181	20929
228	6202	20882
229	6229	20856
230	6256	20828
231	6282	20797
232	6310	20773
233	6336	20741
234	6365	20722
235	6393	20697
236	6419	20667
237	6445	20637
238	6472	20610
239	6500	20584
240	6526	20554
241	6551	20520
242	6578	20493
243	6605	20467
244	6635	20448
245	6659	20412
246	6683	20374
247	6707	20338
248	6732	20306
249	6758	20275
250	6784	20245
251	6812	20219
252	6837	20189
253	6863	20158
254	6890	20130
255	6916	20099
256	6941	20068
257	6968	20042
258	7005	20042
259	7038	20033
260	7066	20007
261	7094	19984
262	7121	19957
263	7149	19931
264	7172	19892
265	7194	19853
266	7220	19822
267	7249	19801
268	7277	19775
269	7304	19748
270	7329	19716
271	7356	19689
272	7384	19664
273	7411	19637
274	7437	19607
275	7465	19582
276	7492	19557
277	7522	19537
278	7550	19511
279	7578	19486
280	7603	19454
281	7628	19422
282	7653	19391
283	7681	19365
284	7703	19327
285	7728	19295
286	7755	19266
287	7780	19234
288	7806	19206
289	7831	19174
290	7857	19144
291	7883	19115
292	7908	19083
293	7934	19053
294	7960	19024
295	7987	18997
296	8016	18974
297	8058	18982
298	8107	19006
299	8148	19013
300	8181	18999
301	8217	18993
302	8259	18998
303	8302	19007
304	8356	19041
305	8418	19093
306	8475	19132
307	8532	19170
308	8591	19212
309	8654	19262
310	8697	19269
311	8743	19280
312	8789	19292
313	8842	19317
314	8894	19342
315	8932	19335
316	8966	19319
317	9004	19311
318	9040	19300
319	9077	19290
320	9111	19273
321	9148	19263
322	9189	19261
323	9229	19256
324	9274	19262
325	9307	19243
326	9341	19224
327	9373	19203
328	9407	19186
329	9440	19167
330	9476	19153
331	9513	19141
332	9547	19122
333	9585	19112
334	9617	19090
335	9646	19062
336	9671	19026
337	9697	18993
338	9725	18962
339	9749	18926
340	9774	18890
341	9799	18854
342	9826	18822
343	9850	18784
344	9876	18750
345	9903	18718
346	9931	18689
347	9955	18653
348	9983	18622
349	10010	18590
350	10032	18550
351	10059	18518
352	10084	18482
353	10110	18450
354	10138	18420
355	10158	18375
356	10181	18337
357	10206	18303
358	10233	18272
359	10261	18242
360	10287	18209
361	10315	18180
362	10341	18147
363	10368	18116
