iter	RMSE
0	74830.3997
1	72327.61351
2	69832.36682
3	67406.23115
4	65166.67073
5	62962.19192
6	60780.63548
7	58720.12693
8	56761.16871
9	54857.26492
10	53096.0541
11	51424.32965
12	49756.6538
13	48136.45156
14	46584.54227
15	45100.84432
16	43704.88733
17	42347.22651
18	41098.58832
19	39812.07014
20	38601.07638
21	37419.28412
22	36300.73939
23	35221.46203
24	34211.22004
25	33203.85036
26	32232.14339
27	31308.95897
28	30417.64957
29	29577.35607
30	28769.62051
31	27972.94384
32	27228.1645
33	26512.07137
34	25807.20629
35	25123.40147
36	24479.90609
37	23850.17886
38	23239.32884
39	22691.63903
40	22157.29599
41	21629.83927
42	21132.93399
43	20679.04587
44	20216.71861
45	19760.70018
46	19330.66071
47	18934.27005
48	18560.78794
49	18215.35899
50	17850.08895
51	17488.28173
52	17150.33772
53	16846.60785
54	16549.47386
55	16252.29345
56	15992.27456
57	15728.26666
58	15469.13795
59	15227.14876
60	14988.16883
61	14759.71355
62	14529.18788
63	14311.61259
64	14112.61353
65	13939.13595
66	13761.26121
67	13608.33251
68	13449.21452
69	13295.47723
70	13156.03211
71	13009.21184
72	12893.03621
73	12764.36519
74	12646.91926
75	12503.6964
76	12372.81103
77	12270.69044
78	12179.19527
79	12079.60121
80	11987.50523
81	11882.45803
82	11783.44
83	11694.6122
84	11607.29054
85	11520.11567
86	11448.00944
87	11370.73792
88	11305.02545
89	11249.72676
90	11188.32292
91	11123.9647
92	11062.54687
93	11013.10352
94	10960.01046
95	10906.55795
96	10855.58385
97	10811.12912
98	10768.35741
99	10720.26833
100	10691.71195
101	10647.74926
102	10624.68854
103	10571.11947
104	10529.99507
105	10485.79274
106	10446.36846
107	10415.38265
108	10371.56602
109	10335.9122
110	10288.74228
111	10256.5912
112	10230.04793
113	10192.98469
114	10157.47458
115	10116.53981
116	10083.48425
117	10050.23941
118	10011.35774
119	9974.989547
120	9942.649933
121	9908.736702
122	9876.044718
123	9848.597662
124	9814.550408
125	9781.320961
126	9759.908542
127	9737.556044
128	9719.598164
129	9693.174219
130	9671.709231
131	9645.762681
132	9625.721009
133	9601.177982
134	9568.756908
135	9541.31718
136	9514.474717
137	9502.380761
138	9486.784239
139	9459.144175
140	9438.738727
141	9411.170797
142	9380.897173
143	9362.024403
144	9345.513942
145	9319.912886
146	9303.874148
147	9288.302001
148	9268.910905
149	9248.95449
150	9229.151405
151	9211.512076
152	9198.360972
153	9176.812444
154	9153.667711
155	9135.020835
156	9122.394673
157	9103.412031
158	9081.618279
159	9067.793626
160	9044.265388
161	9020.975384
162	8998.954503
163	8975.302647
164	8958.656266
165	8945.919253
166	8923.648421
167	8911.712858
168	8894.184404
169	8872.859863
170	8851.399922
171	8838.158913
172	8822.042477
173	8810.956713
174	8787.541162
175	8768.195004
176	8753.517023
177	8734.313991
178	8719.823422
179	8701.095923
180	8683.362557
181	8666.579008
182	8657.22411
183	8636.455551
184	8623.367143
185	8603.979746
186	8592.038657
187	8581.986073
188	8564.996033
189	8551.357862
190	8527.496827
191	8500.140438
192	8487.972556
193	8480.425207
194	8470.77042
195	8456.147495
196	8438.804374
197	8425.843349
198	8414.503706
199	8397.046775
200	8381.728958
201	8374.269494
202	8362.978648
203	8355.137009
204	8330.595265
205	8299.47579
206	8278.671443
207	8263.363661
208	8242.495662
209	8218.335948
210	8210.686184
211	8186.028778
212	8164.000123
213	8150.989497
214	8135.013821
215	8123.345184
216	8107.720914
217	8097.902355
218	8076.824842
219	8055.672328
220	8033.091447
221	8005.842544
222	7993.378226
223	7986.034534
224	7978.775239
225	7966.823283
226	7953.100154
227	7945.864097
228	7925.319141
229	7909.386464
230	7892.915159
231	7876.274505
232	7854.989644
233	7836.6704
234	7829.048323
235	7812.128055
236	7804.831251
237	7791.04544
238	7779.299942
239	7766.346528
240	7752.617421
241	7733.112924
242	7714.031043
243	7696.725511
244	7673.824129
245	7657.843419
246	7637.386821
247	7617.591171
248	7611.103155
249	7594.724697
250	7581.015278
251	7571.370579
252	7559.174163
253	7539.973031
254	7533.94775
255	7524.540001
256	7507.144443
257	7498.83382
258	7493.179913
259	7481.601115
260	7470.35726
261	7448.605543
262	7439.53538
263	7433.557462
264	7427.139293
265	7407.379548
266	7398.797373
267	7385.680724
268	7369.410202
269	7363.640357
270	7345.370685
271	7331.277651
272	7324.89743
273	7318.840495
274	7306.632795
275	7289.96126
276	7284.034344
277	7276.673281
278	7260.396418
279	7255.809047
280	7243.020648
281	7236.077466
282	7224.038034
283	7212.443063
284	7195.080455
285	7180.941604
286	7176.236002
287	7165.607249
288	7148.561658
289	7142.497594
290	7126.031455
291	7119.337527
292	7114.592887
293	7098.878034
294	7087.922509
295	7082.999021
296	7076.093717
297	7070.540458
298	7057.851472
299	7052.434352
300	7041.388752
301	7027.896639
302	7022.592034
303	7007.829382
304	7002.523046
305	6997.354565
306	6986.466812
307	6974.11823
308	6967.152805
309	6957.26705
310	6951.892569
311	6938.540237
312	6928.634929
313	6912.74668
314	6898.417142
315	6885.48805
316	6879.557891
317	6872.321146
318	6867.302754
319	6862.413635
320	6852.221151
321	6847.450724
322	6842.637948
323	6830.591549
324	6825.932012
325	6814.647313
326	6803.420918
327	6799.781867
328	6795.468182
329	6781.376563
330	6776.595424
331	6766.912328
332	6763.619013
333	6753.871487
334	6748.666668
335	6744.411932
336	6740.172291
337	6735.841584
338	6731.46094
339	6721.226401
340	6716.623774
341	6711.56263
342	6697.346265
343	6690.327688
344	6686.081553
345	6678.502391
346	6670.656843
347	6659.861957
348	6655.733891
349	6651.939273
350	6638.43969
351	6633.957652
352	6626.919864
353	6615.75187
354	6607.655707
355	6602.196481
356	6589.359968
357	6579.543973
358	6575.833733
359	6572.000218
360	6559.928547
361	6549.484015
362	6545.734581
363	6541.606635
364	6537.943131
365	6534.490625
366	6530.636873
367	6527.340961
368	6515.789177
369	6503.92302
370	6492.009074
371	6489.496396
372	6486.798183
373	6483.607525
374	6473.024519
375	6469.620459
376	6457.232944
377	6450.503947
378	6447.158802
379	6441.403492
380	6431.397298
381	6425.517952
382	6413.592917
383	6410.314806
384	6407.149395
385	6404.221244
386	6393.0455
387	6385.38892
388	6382.304247
389	6379.326129
390	6376.399359
391	6370.172837
392	6359.142431
393	6348.560109
394	6345.746501
395	6339.943401
396	6331.013984
397	6328.216143
398	6315.977737
399	6305.297509
400	6302.729533
401	6300.147013
402	6295.717025
403	6292.99894
404	6289.691831
405	6281.933934
406	6276.695645
407	6273.943887
408	6267.107733
409	6256.77853
410	6253.424714
411	6246.260007
412	6243.342391
413	6240.196189
414	6230.437065
415	6224.676129
416	6220.150347
417	6208.352352
418	6199.757597
419	6193.656993
420	6191.399104
421	6188.782987
422	6186.2311
423	6178.885915
424	6176.480511
425	6168.370158
426	6160.018247
427	6151.882611
428	6149.475419
429	6140.486118
430	6138.187019
431	6132.146549
432	6123.791295
433	6116.939675
434	6110.966634
435	6107.080172
436	6100.728962
437	6094.000202
438	6089.942074
439	6081.154659
440	6078.895993
441	6072.649854
442	6070.441078
443	6068.408654
444	6062.498757
445	6060.118599
446	6056.912087
447	6054.753223
448	6046.722198
449	6044.391963
450	6043.264763
451	6035.421295
452	6034.331332
453	6028.855114
454	6024.451995
455	6017.011363
456	6011.287304
457	6002.055172
458	5997.875067
459	5993.088625
460	5984.796985
461	5982.8537
462	5977.501739
463	5969.16427
464	5967.458948
465	5965.187988
466	5959.14878
467	5956.343744
468	5954.574498
469	5951.818804
470	5946.182778
471	5941.243552
472	5934.463763
473	5929.195999
474	5922.150871
475	5918.634627
476	5917.05269
477	5911.094204
478	5904.105506
479	5901.290048
480	5893.539776
481	5889.248611
482	5880.603337
483	5872.804206
484	5867.870041
485	5864.575052
486	5862.730795
487	5857.044892
488	5854.839314
489	5851.946509
490	5850.126348
491	5842.451675
492	5840.108878
493	5837.957096
494	5832.992809
495	5826.281572
496	5822.341203
497	5818.794655
498	5816.690301
499	5814.788755
500	5813.748439
501	5806.477025
502	5802.828299
503	5799.321732
504	5797.260863
505	5796.220246
506	5790.661229
507	5789.718146
508	5786.057457
509	5779.975261
510	5773.864301
511	5769.773386
512	5763.163302
513	5756.528523
514	5755.089679
515	5753.659331
516	5746.399703
517	5744.991207
518	5741.130943
519	5737.719654
520	5731.570103
521	5723.910507
522	5717.724356
523	5715.316963
524	5710.657955
525	5705.448874
526	5701.122116
527	5694.592129
528	5692.93921
529	5688.801196
530	5683.258212
531	5676.763065
532	5675.12811
533	5668.405592
534	5666.383296
535	5664.049743
536	5658.587025
537	5653.855659
538	5648.050825
539	5643.694631
540	5640.379298
541	5634.06806
542	5631.795292
543	5626.419944
544	5622.006628
545	5619.302157
546	5616.698295
547	5614.721494
548	5609.552343
549	5605.723381
550	5604.283802
551	5602.831213
552	5598.395574
553	5595.800321
554	5589.347053
555	5584.781736
556	5582.210225
557	5580.268429
558	5577.151815
559	5571.752301
560	5570.186079
561	5568.287977
562	5565.306826
563	5563.881776
564	5558.510771
565	5557.060181
566	5554.091532
567	5548.256204
568	5546.407778
569	5545.49643
570	5540.3356
571	5536.225217
572	5534.893554
573	5533.095711
574	5531.817577
575	5529.566099
576	5525.62548
577	5522.603062
578	5521.800556
579	5519.734111
580	5515.019095
581	5512.092945
582	5510.923032
583	5507.236038
584	5502.174572
585	5500.435041
586	5495.699089
587	5492.045881
588	5488.056231
589	5486.35525
590	5480.227942
