iter	Passed	Remaining
0	3	3893
1	16	8329
2	25	8545
3	31	7794
4	39	7874
5	44	7403
6	49	7041
7	53	6598
8	56	6197
9	60	6033
10	64	5824
11	68	5612
12	74	5620
13	80	5668
14	83	5486
15	86	5300
16	89	5154
17	93	5078
18	96	4977
19	99	4862
20	102	4774
21	105	4682
22	108	4605
23	111	4520
24	113	4433
25	116	4357
26	118	4288
27	121	4231
28	126	4227
29	129	4174
30	131	4111
31	134	4058
32	137	4017
33	140	3996
34	143	3956
35	146	3934
36	150	3916
37	153	3888
38	156	3864
39	159	3838
40	163	3813
41	166	3795
42	171	3808
43	174	3797
44	178	3783
45	181	3763
46	184	3746
47	188	3738
48	191	3723
49	195	3706
50	198	3702
51	202	3686
52	205	3671
53	208	3654
54	212	3651
55	217	3659
56	220	3646
57	222	3621
58	226	3605
59	229	3595
60	232	3581
61	236	3574
62	239	3559
63	242	3549
64	246	3541
65	249	3530
66	252	3522
67	256	3513
68	259	3501
69	262	3490
70	265	3479
71	268	3464
72	272	3454
73	275	3446
74	278	3436
75	281	3428
76	285	3418
77	288	3405
78	291	3394
79	294	3386
80	297	3377
81	301	3370
82	304	3361
83	307	3352
84	311	3348
85	314	3341
86	317	3330
87	320	3320
88	323	3308
89	326	3297
90	329	3288
91	333	3291
92	336	3284
93	340	3278
94	343	3269
95	346	3264
96	350	3259
97	353	3250
98	356	3243
99	359	3235
100	362	3225
101	365	3218
102	369	3214
103	372	3206
104	375	3200
105	378	3194
106	381	3183
107	384	3173
108	387	3167
109	390	3158
110	393	3151
111	396	3143
112	399	3133
113	402	3125
114	405	3118
115	408	3114
116	411	3107
117	414	3101
118	418	3096
119	421	3094
120	425	3091
121	428	3085
122	431	3079
123	435	3076
124	439	3075
125	442	3071
126	446	3068
127	449	3063
128	452	3058
129	456	3052
130	458	3043
131	461	3036
132	465	3032
133	468	3025
134	471	3020
135	474	3016
136	477	3011
137	481	3005
138	484	2998
139	487	2992
140	490	2985
141	493	2979
142	495	2972
143	498	2965
144	502	2960
145	505	2954
146	508	2950
147	511	2944
148	513	2935
149	516	2925
150	518	2916
151	522	2913
152	525	2908
153	527	2899
154	530	2892
155	532	2882
156	535	2874
157	538	2869
158	543	2873
159	546	2868
160	549	2862
161	551	2854
162	554	2848
163	556	2838
164	559	2831
165	561	2822
166	564	2814
167	566	2807
168	570	2804
169	573	2798
170	576	2795
171	579	2791
172	583	2787
173	586	2782
174	589	2779
175	592	2774
176	595	2770
177	599	2767
178	602	2762
179	605	2756
180	608	2752
181	611	2747
182	614	2742
183	617	2738
184	620	2734
185	623	2729
186	626	2725
187	629	2718
188	632	2713
189	634	2707
190	637	2700
191	640	2693
192	643	2688
193	647	2690
194	650	2683
195	652	2677
196	655	2673
197	658	2666
198	661	2660
199	664	2656
200	667	2651
201	669	2646
202	673	2642
203	676	2638
204	679	2634
205	682	2629
206	685	2625
207	688	2621
208	691	2616
209	694	2613
210	697	2608
211	700	2604
212	704	2601
213	707	2597
214	710	2593
215	713	2589
216	716	2583
217	719	2579
218	722	2575
219	725	2571
220	728	2567
221	731	2564
222	734	2559
223	737	2555
224	740	2550
225	743	2547
226	746	2543
227	750	2540
228	753	2535
229	755	2530
230	759	2527
231	763	2526
232	766	2523
233	769	2518
234	771	2512
235	774	2507
236	777	2503
237	780	2498
238	783	2493
239	785	2488
240	789	2485
241	792	2482
242	795	2478
243	798	2475
244	802	2471
245	805	2469
246	808	2466
247	812	2462
248	815	2459
249	818	2455
250	821	2450
251	824	2447
252	827	2443
253	830	2440
254	833	2436
255	837	2433
256	840	2428
257	842	2424
258	845	2420
259	848	2415
260	852	2412
261	855	2410
262	858	2406
263	861	2402
264	864	2398
265	867	2394
266	870	2390
267	873	2386
268	876	2382
269	879	2378
270	882	2374
271	885	2370
272	888	2365
273	891	2361
274	894	2358
275	897	2354
276	900	2350
277	903	2347
278	906	2342
279	910	2340
280	914	2338
281	917	2336
282	920	2331
283	922	2326
284	925	2321
285	927	2315
286	930	2310
287	932	2306
288	935	2301
289	938	2296
290	941	2293
291	943	2287
292	946	2283
293	949	2279
294	952	2276
295	957	2276
296	961	2276
297	965	2274
298	970	2274
299	973	2271
300	977	2269
301	981	2267
302	984	2265
303	988	2262
304	991	2259
305	995	2257
306	1000	2259
307	1004	2256
308	1008	2254
309	1011	2251
310	1016	2251
311	1019	2248
312	1022	2245
313	1026	2242
314	1031	2243
315	1035	2241
316	1039	2240
317	1043	2237
318	1048	2237
319	1053	2239
320	1057	2237
321	1061	2235
322	1065	2233
323	1069	2231
324	1072	2228
325	1075	2223
326	1077	2218
327	1080	2213
328	1082	2208
329	1086	2205
330	1088	2200
331	1091	2195
332	1094	2192
333	1097	2188
334	1100	2183
335	1103	2180
336	1106	2177
337	1110	2175
338	1114	2172
339	1117	2169
340	1121	2167
341	1126	2166
342	1130	2164
343	1135	2165
344	1140	2165
345	1144	2163
346	1148	2160
347	1152	2158
348	1155	2155
349	1159	2154
350	1165	2155
351	1169	2153
352	1173	2151
353	1179	2152
354	1183	2149
355	1186	2146
356	1190	2143
357	1193	2140
358	1197	2138
359	1201	2135
360	1205	2133
361	1209	2130
362	1212	2128
363	1216	2125
364	1220	2123
365	1224	2120
366	1227	2116
367	1230	2113
368	1233	2109
369	1237	2106
370	1240	2102
371	1243	2099
372	1247	2097
373	1250	2093
374	1254	2090
375	1256	2086
376	1259	2081
377	1262	2077
378	1265	2073
379	1269	2070
380	1272	2067
381	1275	2063
382	1278	2060
383	1281	2056
384	1284	2052
385	1288	2049
386	1291	2045
387	1294	2041
388	1297	2038
389	1300	2034
390	1303	2029
391	1306	2026
392	1309	2022
393	1312	2018
394	1315	2015
395	1318	2011
396	1321	2007
397	1324	2003
398	1327	1999
399	1330	1995
400	1333	1991
401	1336	1987
402	1339	1984
403	1342	1980
404	1345	1976
405	1348	1972
406	1351	1969
407	1354	1965
408	1357	1961
409	1360	1957
410	1364	1955
411	1367	1951
412	1370	1947
413	1373	1944
414	1376	1939
415	1378	1935
416	1382	1932
417	1385	1928
418	1387	1924
419	1390	1920
420	1393	1915
421	1395	1911
422	1398	1908
423	1401	1904
424	1403	1899
425	1406	1894
426	1408	1890
427	1411	1886
428	1415	1883
429	1417	1878
430	1420	1874
431	1422	1870
432	1424	1865
433	1427	1862
434	1431	1859
435	1433	1854
436	1436	1851
437	1439	1847
438	1442	1843
439	1445	1840
440	1448	1835
441	1450	1831
442	1453	1827
443	1456	1823
444	1458	1819
445	1461	1815
446	1464	1812
447	1467	1808
448	1469	1803
449	1472	1799
450	1475	1796
451	1478	1792
452	1481	1788
453	1484	1784
454	1487	1781
455	1489	1777
456	1493	1775
457	1496	1771
458	1499	1767
459	1502	1763
460	1505	1760
461	1508	1756
462	1511	1752
463	1514	1749
464	1516	1745
465	1519	1740
466	1521	1737
467	1525	1734
468	1528	1730
469	1530	1726
470	1533	1722
471	1536	1718
472	1538	1714
473	1542	1711
474	1544	1707
475	1547	1703
476	1550	1699
477	1553	1696
478	1556	1693
479	1558	1688
480	1561	1684
481	1564	1680
482	1566	1676
483	1569	1672
484	1573	1670
485	1576	1667
486	1580	1664
487	1582	1660
488	1585	1656
489	1588	1653
490	1591	1649
491	1593	1645
492	1596	1641
493	1598	1637
494	1601	1634
495	1604	1630
496	1607	1626
497	1609	1622
498	1612	1618
499	1615	1615
500	1617	1611
501	1621	1608
502	1623	1604
503	1626	1600
504	1629	1597
505	1631	1593
506	1635	1590
507	1638	1586
508	1640	1582
509	1643	1579
510	1646	1575
511	1649	1572
512	1652	1569
513	1655	1565
514	1657	1561
515	1660	1557
516	1662	1553
517	1665	1549
518	1668	1546
519	1671	1542
520	1673	1538
521	1676	1535
522	1679	1531
523	1683	1529
524	1686	1525
525	1688	1521
526	1691	1517
527	1693	1514
528	1697	1511
529	1700	1508
530	1704	1505
531	1706	1501
532	1709	1497
533	1711	1493
534	1715	1490
535	1718	1487
536	1721	1484
537	1725	1481
538	1728	1478
539	1732	1475
540	1735	1472
541	1738	1468
542	1741	1466
543	1745	1463
544	1748	1459
545	1751	1456
546	1755	1453
547	1758	1450
548	1761	1447
549	1764	1444
550	1768	1440
551	1771	1437
552	1775	1434
553	1778	1431
554	1781	1428
555	1784	1424
556	1787	1421
557	1790	1418
558	1794	1415
559	1797	1412
560	1800	1409
561	1803	1405
562	1806	1402
563	1809	1399
564	1812	1395
565	1815	1392
566	1819	1389
567	1821	1385
568	1824	1382
569	1827	1378
570	1830	1375
571	1833	1371
